2025-03-17 11:13:47,775 - INFO - Peer terminated by user
2025-03-17 11:13:47,776 - INFO - Peer shutdown complete
2025-03-17 11:13:48,949 - INFO - Connected to manager at localhost:12345
2025-03-17 11:13:53,648 - INFO - Sent to manager: hello
2025-03-17 11:13:53,651 - INFO - Received from manager: Unknown command
2025-03-17 11:14:06,856 - INFO - Peer terminated by user
2025-03-17 11:14:06,856 - INFO - Peer shutdown complete
► 2025-03-17 11:15:13,382 - INFO - Connected to manager at localhost:12345
► 2025-03-17 11:15:14,733 - INFO - Sent to manager: hello
► 2025-03-17 11:15:14,734 - INFO - Received from manager: Unknown command
► 2025-03-17 11:15:30,921 - INFO - Peer terminated by user
► 2025-03-17 11:15:30,922 - INFO - Peer shutdown complete
► 2025-03-17 11:15:37,081 - INFO - Connected to manager at localhost:12345
► 2025-03-17 11:15:39,562 - INFO - Sent to manager: hello
► 2025-03-17 11:15:39,563 - INFO - Received from manager: Unknown command
► 2025-03-17 11:15:43,255 - INFO - Peer terminated by user
► 2025-03-17 11:15:43,256 - INFO - Peer shutdown complete
► 2025-03-17 20:54:22,144 - INFO - Connected to manager at localhost:12345
► 2025-03-17 20:54:29,034 - INFO - Connected to manager at localhost:12345
► 2025-03-17 20:54:30,405 - INFO - Connected to manager at localhost:12345
► 2025-03-17 20:54:37,153 - INFO - Sent to manager: register peer1 127.0.0.1 8001 8002
► 2025-03-17 20:54:37,154 - INFO - Received from manager: SUCCESS
► 2025-03-17 20:54:37,154 - INFO - Peer socket bound to port 8002
► 2025-03-17 20:54:43,004 - INFO - Sent to manager: register peer2 127.0.0.1 8003 8004
► 2025-03-17 20:54:43,005 - INFO - Received from manager: SUCCESS
► 2025-03-17 20:54:43,005 - INFO - Peer socket bound to port 8004
► 2025-03-17 20:54:48,703 - INFO - Sent to manager: register peer3 127.0.0.1 8005 8006
► 2025-03-17 20:54:48,704 - INFO - Received from manager: SUCCESS
► 2025-03-17 20:54:48,705 - INFO - Peer socket bound to port 8006
► 2025-03-17 20:54:56,592 - INFO - Sent to manager: setup-dht peer1 3 1950
